order,station,post,lat,long,lat
301,金町,125-0042,葛飾区金町６丁目,139.870482,35.769582
302,京成金町,125-0042,葛飾区金町５-３７-９,139.870387,35.768471
303,柴又,125-0052,葛飾区柴又４-８-１４,139.875188,35.756323
304,新柴又,125-0052,葛飾区柴又５-７-１,139.879376,35.75101
305,京成高砂,125-0054,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
306,京成高砂,125-0054,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
307,京成高砂,125-0054,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
308,京成高砂,125-0054,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
309,京成高砂,125-0054,東京都葛飾区高砂五丁目28-1,139.866875,35.750932
310,亀有,125-0061,葛飾区亀有３,139.847573,35.766527
311,青砥,125-0062,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883
312,青砥,125-0062,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883
313,青砥,125-0062,東京都葛飾区青戸三丁目36番1号,139.856292,35.745883
314,本所吾妻橋,130-0001,墨田区吾妻橋３-７-１６,139.804624,35.70858
315,両国,130-0015,墨田区横網１丁目,139.793334,35.69579
316,両国,130-0015,墨田区横網１丁目,139.797421,35.696881
317,錦糸町,130-0022,墨田区江東橋３丁目,139.814136,35.696802
318,錦糸町,130-0022,墨田区江東橋３丁目,139.814136,35.696802
319,錦糸町,130-0022,墨田区江東橋３丁目,139.814941,35.697578
320,菊川,130-0024,墨田区菊川３-１６-２,139.806016,35.688379
321,鐘ヶ淵,131-0031,東京都墨田区墨田5丁目,139.820344,35.733712
322,曳舟,131-0032,墨田区東向島２丁目,139.816634,35.718418
323,東向島,131-0032,墨田区東向島４丁目,139.819306,35.724324
324,曳舟,131-0032,墨田区東向島２丁目,139.816634,35.718418
325,八広,131-0041,墨田区八広６-２５-２０,139.828738,35.727687
326,東あずま,131-0043,墨田区立花４-２３-８,139.831883,35.707067
327,小村井,131-0044,墨田区文花２-２０-１,139.827595,35.710316
328,とうきょうスカイツリー,131-0045,墨田区押上１丁目,139.809332,35.71043
329,押上〈スカイツリー前〉,131-0045,墨田区押上一丁目,139.812935,35.710702
330,押上（スカイツリー前）,131-0045,墨田区押上一丁目,139.812935,35.710702
331,押上〈スカイツリー前〉,131-0045,墨田区押上一丁目,139.812935,35.710702
332,押上（スカイツリー前）,131-0045,墨田区押上一丁目,139.812935,35.710702
333,京成曳舟,131-0046,墨田区京島１-３９-１,139.820012,35.718441
334,瑞江,132-0011,江戸川区瑞江２-２-１,139.89761,35.693318
335,平井,132-0035,江戸川区平井３丁目,139.842181,35.70643
336,京成小岩,133-0051,江戸川区北小岩２-１０-９,139.88371,35.742158
337,江戸川,133-0051,江戸川区北小岩３-２４-１５,139.896226,35.737723
338,小岩,133-0056,江戸川区南小岩７丁目,139.881755,35.733207
339,篠崎,133-0061,江戸川区篠崎町７-２７-１,139.903698,35.706017
340,一之江,134-0003,江戸川区春江町４-２,139.882934,35.686055
341,葛西,134-0083,江戸川区中葛西５-４３-１１,139.872458,35.663554
342,葛西臨海公園,134-0086,江戸川区臨海町６丁目,139.861529,35.644392
343,西葛西,134-0088,江戸川区西葛西６-１４-１,139.859259,35.664631
344,船堀,134-0091,江戸川区船堀３-６-１,139.864258,35.683795
345,住吉,135-0002,江東区住吉２-２３-１２,139.815681,35.689073
346,住吉,135-0002,江東区住吉２-２３-１２,139.815681,35.689073
347,森下,135-0004,江東区森下２-１７-１７,139.797042,35.68796
348,森下,135-0004,江東区森下２-１７-１７,139.797042,35.68796
349,東陽町,135-0016,江東区東陽４-２-１,139.817596,35.669629
350,清澄白河,135-0021,江東区白河１-７-１４,139.798851,35.682105
351,清澄白河,135-0021,江東区白河１-７-１４,139.798851,35.682105
352,木場,135-0042,江東区木場５-５-１,139.807042,35.669351
353,越中島,135-0044,江東区越中島２丁目,139.792713,35.667946
354,門前仲町,135-0048,江東区門前仲町１丁目,139.796209,35.671851
355,門前仲町,135-0048,江東区門前仲町１丁目,139.796209,35.671851
356,潮見,135-0052,江東区潮見２丁目,139.817341,35.658702
357,辰巳,135-0053,東京都江東区辰巳一丁目1-44,139.81052,35.645576
358,豊洲,135-0061,東京都江東区豊洲四丁目1-1,139.79621,35.654908
359,市場前,135-0061,江東区豊洲６丁目,139.78564,35.645684
360,新豊洲,135-0061,江東区豊洲６丁目,139.789996,35.648718
361,豊洲,135-0061,東京都江東区豊洲二丁目2,139.795414,35.653792
362,東雲,135-0062,江東区東雲２-８-１０,139.804395,35.640987
363,国際展示場正門,135-0063,江東区有明３-１,139.791228,35.630158
364,有明,135-0063,江東区有明２-５,139.793269,35.634596
365,有明テニスの森,135-0063,江東区有明１丁目,139.78888,35.639964
366,国際展示場,135-0063,江東区有明２-５-２５,139.791617,35.63441
367,船の科学館,135-0064,江東区青海１,139.773157,35.621462
368,テレコムセンター,135-0064,江東区青海２-２９,139.779327,35.617593
369,青海,135-0064,江東区青海１,139.781132,35.62467
370,東京テレポート,135-0064,江東区青海１-２,139.778896,35.62753
371,お台場海浜公園,135-0091,港区台場２-３,139.778607,35.629813
372,台場,135-0091,港区台場２-６,139.771435,35.625908
373,亀戸,136-0071,江東区亀戸５丁目,139.826262,35.697345
374,亀戸水神,136-0071,江東区亀戸８-５-１,139.833422,35.699976
375,亀戸,136-0071,江東区亀戸５丁目,139.826791,35.697708
376,西大島,136-0072,江東区大島２-４１-１９,139.826206,35.689349
377,大島,136-0072,江東区大島５-１０-８,139.83565,35.689905
378,東大島,136-0072,江東区大島９-３-１４,139.845963,35.690355
379,南砂町,136-0076,江東区南砂３-１１-８５,139.83065,35.668796
380,新木場,136-0082,東京都江東区新木場一丁目5,139.827402,35.646172
381,新木場,136-0082,東京都江東区新木場一丁目6,139.826254,35.645832
382,新木場,136-0082,東京都江東区新木場一丁目6,139.827402,35.646172
383,北品川,140-0001,品川区北品川１-１-４,139.739191,35.622458
384,新馬場,140-0001,品川区北品川２-１８-１,139.741366,35.61762
385,天王洲アイル,140-0002,品川区東品川２-５-１９,139.750675,35.622908
386,天王洲アイル,140-0002,品川区東品川２-５-１９,139.750793,35.620562
387,品川シーサイド,140-0002,品川区東品川４-１２-２２,139.749549,35.608524
388,青物横丁,140-0004,品川区南品川３-１-２０,139.742958,35.609351
